Query,Type,Results Count
"burger king",franchise,0
"food franchise in delhi",franchise,0
"health association",association,9
"salon under 10 lakh",franchise,0
"education franchise 20% ROI",franchise,0
"500 members association mumbai",association,7
"dominos pizza",franchise,0
"kfc franchise",franchise,0
"subway",franchise,0
"mcdonalds",franchise,0
"pizza hut",franchise,ERROR
"baskin robbins",franchise,ERROR
"dr lal pathlabs",franchise,ERROR
"apollo pharmacy",franchise,ERROR
"jawa yezdi",franchise,ERROR
"firstcry",franchise,ERROR
"lenskart",franchise,ERROR
"amul",franchise,ERROR
"haldirams",franchise,ERROR
"bikanervala",franchise,ERROR
"starbucks",franchise,0
"tata motors",franchise,ERROR
"maruti suzuki",franchise,0
"hero motocorp",franchise,0
"bajaj auto",franchise,0
"tvs motor",franchise,0
"mahindra",franchise,0
"hyundai",franchise,ERROR
"kia motors",franchise,ERROR
"honda 2 wheelers",franchise,0
"royal enfield",franchise,ERROR
"zudio",franchise,ERROR
"max fashion",franchise,ERROR
"pantaloons",franchise,ERROR
"reliance trends",franchise,ERROR
"vishal mega mart",franchise,ERROR
"d mart",franchise,ERROR
"big bazaar",franchise,ERROR
"spencers",franchise,ERROR
"more retail",franchise,ERROR
"star bazaar",franchise,ERROR
"croma",franchise,ERROR
"reliance digital",franchise,ERROR
"vijay sales",franchise,ERROR
"sangeetha mobiles",franchise,ERROR
"poorvika",franchise,ERROR
"my jio store",franchise,ERROR
"vodafone idea",franchise,ERROR
"airtel store",franchise,ERROR
"bsnl franchise",franchise,ERROR
"post office franchise",franchise,0
"dtdc courier",franchise,0
"bluedart",franchise,0
"delhivery",franchise,0
"ecom express",franchise,0
"shadowfax",franchise,0
"xpressbees",franchise,0
"safexpress",franchise,0
"vrl logistics",franchise,0
"gati kwe",franchise,0
"fedex",franchise,ERROR
"dhl",franchise,ERROR
"ups",franchise,ERROR
"aramex",franchise,ERROR
"indian medical association",association,ERROR
"federation of indian chambers of commerce",association,ERROR
"pharmacy associations in india",association,ERROR
"data science society",association,ERROR
"chefs federation",association,ERROR
"restaurant associations",association,ERROR
"hotel association of india",association,ERROR
"national restaurant association",association,ERROR
"retailers association of india",association,ERROR
"confederation of indian industry",association,ERROR
"assocham",franchise,ERROR
"phdcci",franchise,ERROR
"ficci",franchise,ERROR
"nasscom",franchise,ERROR
"iamai",franchise,ERROR
"tiie",franchise,ERROR
"builders association of india",association,ERROR
"credai",franchise,ERROR
"naredco",franchise,ERROR
"indian banks association",association,ERROR
"insurance institute of india",association,ERROR
"bar council of india",association,ERROR
"institute of chartered accountants",association,ERROR
"company secretaries of india",franchise,ERROR
"cost accountants of india",franchise,ERROR
"medical council of india",association,ERROR
"dental council of india",association,9
"pharmacy council of india",association,9
"nursing council of india",association,9
"all india council for technical education",association,2
"university grants commission",franchise,0
"central board of secondary education",franchise,0
"indian nursing council",association,9
"rehabilitation council of india",association,9
"veterinary council of india",association,9
"architectural council of india",association,9
