"id","franchise_id","initial_investment_min","initial_investment_max","franchise_fee","royalty_percentage","marketing_fee_percentage","payback_min_months","payback_max_months","roi_min_percentage","roi_max_percentage","monthly_turnover_min","monthly_turnover_max","single_unit_cost_min","single_unit_cost_max","investment_includes","created_by","updated_by","created_at","updated_at"
"0c41acfa-7c46-4b85-a3d1-167d46517c57","b38c39c0-b9f6-495f-b8be-a65b1c0b9221","2500000","5000000","500000","","","24","36","18","30","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 18:15","2025-1-1 18:15"
"b65a968d-3563-40af-b2c6-ea5fff78cb3a","c8f6989c-d785-4cf7-b127-b7ba288a3314","1200000","1200000","500000","5","","9","12","18","25","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"26074183-850c-4448-a42a-3aa0f359f603","b297c5b9-82e3-4c3d-88fc-c509ae881207","200000","500000","50000","","","12","24","25","25","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"f88c9295-7a33-4a27-9972-5a2d043aac50","6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc","1000000","1200000","200000","5","","12","12","25","35","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 8:15","2025-1-1 8:15"
"bcef8020-3e42-4a20-a771-9b69a9885e72","afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f","1500000","2000000","200000","7","","12","12","90","100","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 11:59","2025-1-1 11:59"
"9a698146-e670-4a74-a582-a54899cf0953","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","7500000","20000000","","","","12","12","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"9a861d7d-4ad6-424f-be29-e96318f90b97","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","5000000","10000000","","","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"83b49d2d-5805-479d-b78c-78793caa71af","0e50ed02-6937-4c8d-aa31-b4202a5f77cd","2000000","3000000","200000","30","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"b8d1a47a-592d-4631-8bdc-42d93c73dc9a","7e62e026-71a1-4b49-971d-e8bcd1cc4e54","4000000","5000000","","","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 1:45","2025-1-1 1:45"
"493acddc-48bb-45d4-bcb2-ea0303912d0c","8a873fc8-8a68-461e-81f4-55d7f192f2b1","2000000","3000000","","","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 3:24","2025-1-1 3:24"
"e1c27132-5c6f-4b61-ad2d-a524ad7f1c8e","fc244900-e4b1-4eec-8e70-eb778beac3a5","3000000","10000000","","","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 4:34","2025-1-1 4:34"
"b418aace-1993-4ac3-8b22-e7b0011399dd","a6ae3e8e-b3da-4406-9a53-1f411523033b","1000000","5000000","","","","24","36","30","30","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 15:28","2025-1-1 15:28"
"425d8e21-85c2-4a55-8a98-37475e349898","f610d893-650e-46e2-89a6-c50f59036275","2000000","3700000","","","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 18:12","2025-1-1 18:12"
"61c6d77c-6c0a-4802-8b34-ca60422f55e9","1dac1aa2-22c2-41e9-a608-2ffb1cefdf84","1500000","3000000","200000","","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 21:29","2025-1-1 21:29"
"9d8ff34b-84ad-4f16-9663-9f68f3b2fd21","1ee2cd39-dcf0-4e78-971d-967b8f1e2f12","4000000","10000000","200000","","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"ea461c74-f745-47bc-9d96-57bc1142b722","1c97dc61-7708-4958-8222-3fe8fa9275bc","5000000","10000000","0","0","","36","48","17","17","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"3a851b55-38bf-40bc-9782-93c8fdbb5004","9ab139e7-cf16-4085-9352-c51d74e61115","2000000","3000000","300000","0","","12","24","45","45","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"06c25e55-6494-4502-9994-f6931853fc8e","ac303bf7-2a32-471d-9be1-a1dbb2e915e7","3000000","5000000","0","4.5","","12","12","15","15","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"4c54f7bf-b1e9-465a-ac34-b81c6a560ab3","df361e73-da0e-4e50-992d-e95e57306357","200000","500000","150000","0","","3","3","50","50","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 7:07","2025-1-1 7:07"
"b5035c9c-0f38-4781-89ff-d03d7fbc989f","c8bbd1a5-9676-4a19-b8c4-1b2f22fe8148","2000000","3000000","1800000","20","","10","11","13","13","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 9:34","2025-1-1 9:34"
"4ec91161-dc56-4f95-a46b-8d23c6ef4068","88848236-153f-41d1-85cd-4a9001af249c","3000000","12000000","500000","0","","","","","","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 9:47","2025-1-1 9:47"
"4e155382-5c75-46af-8cc7-c51e95699690","d96ac4e8-daa4-4d60-9a4d-f7dcb54412b7","5000000","10000000","800000","8","","12","48","40","40","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 11:35","2025-1-1 11:35"
"ed1a98c5-ad54-4edf-9fd4-06c848c62a5a","d451263c-43df-4ba1-b652-cbac27ff7846","500000","1000000","150000","30","","8","11","80","80","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"74285b07-bbe4-4f10-8220-9594bbecdaa7","a3d5f27f-978c-48e7-97cf-21e8aea6d359","1000000","2000000","300000","10","","12","24","100","100","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"c3bd052a-2d5c-4284-bcb8-bbac2b8095df","780dabc4-787e-4001-9c4b-a07c9874ffab","1000000","2000000","200000","","","5","6","7","10","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"915b4dcd-70a4-4f12-b525-24d79c3e58c1","499ed48e-a3e7-480e-900b-f384cd1ec21f","200000","500000","50000","","","6","12","10","15","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
"afee8ef1-0158-4bef-88af-1b4c9817051b","fc554f5b-c10b-4835-b81b-6eb90deb8862","1500000","2500000","300000","","","6","12","12","18","","","","","","00000000-0000-0000-0000-000000000001","","2025-1-1 23:59","2025-1-1 23:59"
