listing_id,association_type,sector_represented,member_count,membership_fee_min,membership_fee_max,industry_id,association_metadata
50424df9-899b-4ac9-9a5e-a969f6919b1d,National,Glass Manufacturing,200,10000.00,70000.00,26d2b88d-ddbf-45b7-a016-9379064270a9,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""AIGMF, established in 1927, is the apex body of glass manufacturers in India. It represents all segments of the glass industry including flat glass, container glass, and specialty glass, and promotes the development of the sector."", ""mission"": """", ""vision"": """", ""sector"": ""Glass Manufacturing"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Deepak Kishorilal Bangur"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""450+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""aigmf@aigmf.com"", ""website"": ""https://www.aigmf.com""}}"
66936a5b-31e2-41c0-ac92-a6ec7bc16b5b,National,Automobile Manufacturing,45,50000.00,100000.00,5ed3c109-2d23-4148-a019-f347fda26ed4,"{""association_type"": ""National"", ""legal_status"": ""Registered Society (Charitable status under Income Tax Act 1961)"", ""overview"": {""about"": ""SIAM works towards supporting sustainable development of the Indian Automobile Industry with the vision that India emerges as the destination of choice for design and manufacture of automobiles. It works closely with stakeholders on economic and commercial policies, regulations and standards."", ""mission"": """", ""vision"": ""India as the destination of choice in the world for design and manufacture of automobiles."", ""sector"": ""Automotive"", ""objectives"": [""Enhance automobile industry's contribution to Indian economy"", ""Improve road safety and environment protection""], ""key_functions"": [""Policy and standards formulation"", ""Monthly Industry Statistics publication"", ""Auto Expo organisation (with ACMA, CII)""]}, ""governance"": {""president"": {""name"": ""Shailesh Chandra"", ""company"": ""Managing Director, Tata Motors Passenger Vehicles Ltd. & Tata Passenger Electric Mobility Ltd""}, ""vice_presidents"": [{""name"": ""Shenu Agarwal"", ""company"": ""Managing Director & CEO, Ashok Leyland Ltd""}], ""secretary_general"": {""name"": ""Rajesh Menon"", ""company"": ""Director General, SIAM""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [{""name"": ""Monthly Industry Statistics"", ""description"": ""Regular publication of vehicle production/sales data.""}, {""name"": ""Monthly Commodity Price Monitor"", ""description"": ""Tracking of input commodity prices for the industry.""}], ""programs"": {""Road Safety & Environment"": [{""title"": ""Surakshit Safar"", ""description"": ""Road safety awareness pavilion/campaign at auto shows.""}]}, ""events"": {""Biennial"": [{""title"": ""Auto Expo - The Motor Show / Bharat Mobility Global Expo"", ""description"": ""Jointly organised with ACMA and CII, India's premier auto exhibition.""}]}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": [{""name"": ""ACMA"", ""relation"": ""Co-organiser of Auto Expo"", ""website"": ""https://www.acma.in""}, {""name"": ""CII"", ""relation"": ""Co-organiser of Auto Expo"", ""website"": ""https://www.cii.in""}]}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Core 4B, 5th Floor, India Habitat Centre, Lodi Road, New Delhi 110003, India"", ""phone_number"": ""+91-11-24647810-13"", ""email"": ""siam@siam.in"", ""website"": ""https://www.siam.in""}}"
78c33024-8b86-4f58-9841-1c37012a1210,National,Trade & Commerce,7000,15000.00,100000.00,c39ecac8-9a1f-4ad3-af64-069b9b315926,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""FICCI is a non-governmental trade association and advocacy group based in India, established in 1927 on the advice of Mahatma Gandhi by Indian businessman G.D. Birla and Purshottamdas Thakurdas. FICCI will celebrate its centenary on 7th April 2027."", ""mission"": ""To be the voice of India's business and industry."", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [""Influence policy for inclusive growth"", ""Promote trade and investment""], ""key_functions"": [""Policy advocacy"", ""Trade delegations"", ""Industry research""]}, ""governance"": {""president"": {""name"": ""Anant Goenka"", ""company"": ""RPG Group (Vice Chairman); also former Chairman, Automotive Tyre Manufacturers Association""}, ""vice_presidents"": [{""name"": ""Puneet Dalmia"", ""company"": ""Dalmia Bharat Limited (MD & CEO)""}], ""secretary_general"": {""name"": ""Jyoti Vij"", ""company"": ""Director General, FICCI""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": [{""name"": ""FICCI Tamil Nadu State Council"", ""headquarters_address"": ""Chennai, Tamil Nadu"", ""contact_email"": """"}]}, ""membership_details"": {""overview_metrics"": [], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Networking platforms"", ""Policy representation"", ""Trade fair participation""], ""mode_of_application"": """", ""application_url"": ""https://ficci.in"", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""ficci@ficci.com"", ""website"": ""https://ficci.in""}}"
f460b940-fb48-47af-8e6c-e6f6f848c017,State-level,,12000,2000.00,10000.00,c39ecac8-9a1f-4ad3-af64-069b9b315926
08e7840a-ffed-4bdd-b817-4689b6e6359a,National,IT-BPM,3000,15000.00,6000000.00,64fd1516-f032-4630-8a79-e347851f2e18,"{""association_type"": ""National"", ""legal_status"": ""Section 25 Company"", ""overview"": {""about"": ""NASSCOM is an Indian non-governmental trade association serving the Indian technology industry. Its core values are defined by the ELICIT framework (Excellence, Learning, Impact, Collaboration, Inclusion, Trust). NASSCOM advocates for the $283 billion technology sector."", ""mission"": ""To establish India's tech ecosystem as the world's trusted innovation partner, expanding the country's pool of relevant and skilled talent."", ""vision"": ""To make technology human-centric by enabling and enriching lives, positioning India's tech ecosystem as the world's trusted innovation partner."", ""sector"": ""Information Technology"", ""objectives"": [""Reskill and upskill India's tech workforce"", ""Advocate for policies that promote ease of doing business in tech""], ""key_functions"": [""Policy advocacy"", ""Global trade facilitation"", ""Industry research and Strategic Review"", ""Skilling and talent council coordination""]}, ""governance"": {""president"": {""name"": ""Debjani Ghosh"", ""company"": ""First woman President of NASSCOM (tenure dates not confirmed for current cycle)""}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Member Companies"", ""value"": ""3,000+""}, {""label"": ""Industry Revenue Share Represented"", ""value"": ""~95%""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Access to flagship Strategic Review reports"", ""Discounted participation in global trade missions"", ""Networking and skill certifications""], ""mode_of_application"": ""Online / Offline"", ""application_url"": ""https://www.nasscom.in/membership"", ""member_login_url"": """"}, ""services_offered"": [{""name"": ""FutureSkills Prime"", ""description"": ""Industry-driven reskilling platform launched 2019 in partnership with MeitY, covering 155+ competencies across 70+ roles in 10 emerging technologies.""}], ""programs"": {""Skilling"": [{""title"": ""FutureSkills Prime"", ""description"": ""Reskilling platform for AI, cloud, cybersecurity and more.""}]}, ""events"": {""Annual"": [{""title"": ""NASSCOM Technology & Leadership Forum (NTLF)"", ""description"": ""34th edition flagship event held at Fairmont Mumbai.""}, {""title"": ""NASSCOM People Summit"", ""description"": ""Gathering of CHROs, CEOs, CIOs on future of work.""}, {""title"": ""NASSCOM SME Confluence (NSC)"", ""description"": ""Multi-city tech SME gathering with roadshows.""}]}, ""publications"": {""Reports"": [{""title"": ""Technology Sector in India: Strategic Review"", ""description"": ""Annual flagship industry research report.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": [{""name"": ""Ministry of Electronics and IT (MeitY)"", ""relation"": ""Government Partner"", ""website"": """"}]}, ""awards"": {""list"": [{""title"": ""SME Inspire Awards"", ""description"": ""National awards programme for technology MSMEs across 21 categories.""}]}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": """", ""website"": ""https://www.nasscom.in""}}"
f91719f4-9b28-442b-958d-f732380cf938,Regional,,600,2000.00,10000.00,c39ecac8-9a1f-4ad3-af64-069b9b315926
132b19ed-a781-4b4b-8950-81cdb0c14de8,National,Trade & Manufacturing,9700,25000,2500000,c39ecac8-9a1f-4ad3-af64-069b9b315926,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""CII works to create and sustain an environment conducive to the development of India, partnering industry, Government, and civil society through advisory and consultative processes. Founded in 1895, CII has direct membership of around 9,700 members and indirect membership of over 3,65,000 enterprises from 318 national and regional industry bodies."", ""mission"": ""To create and sustain an environment conducive to the growth of industry in India, partnering industry and government alike through advisory and consultative processes."", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [""Partner industry, government and civil society for India's development"", ""Strengthen efficiency, competitiveness and business environment""], ""key_functions"": [""Policy advocacy"", ""Sector-specific councils"", ""International trade facilitation"", ""B20 India Secretariat (2023 G20 Presidency)""]}, ""governance"": {""president"": {""name"": ""R. Mukundan"", ""company"": ""Tata Chemicals Ltd (MD & CEO)""}, ""vice_presidents"": [{""name"": ""Shashwat Goenka"", ""company"": ""RP-Sanjiv Goenka Group (Vice Chairman)""}], ""secretary_general"": {""name"": ""Chandrajit Banerjee"", ""company"": ""Director General, CII (since May 2008)""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Direct Members"", ""value"": ""9,700+""}, {""label"": ""Indirect Members"", ""value"": ""3,65,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Access to policy forums"", ""Networking with industry leaders"", ""Sector councils and committees""], ""mode_of_application"": """", ""application_url"": ""https://www.cii.in"", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@cii.in"", ""website"": ""https://www.cii.in""}}"
015bcabe-a22c-4acf-96fd-83d651d712d4,National,Trade & Commerce,450000,5000,3000000,c39ecac8-9a1f-4ad3-af64-069b9b315926,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""ASSOCHAM is a non-governmental trade association and advocacy group based in New Delhi, representing the interests of trade and commerce in India. Established in 1920, it operates with more than 100 national and regional sector councils."", ""mission"": """", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [""Promote domestic and international trade"", ""Reduce trade barriers""], ""key_functions"": [""Make in India advocacy"", ""MSME support"", ""Ease of Doing Business"", ""Digital Economy"", ""Sustainability & Environment""]}, ""governance"": {""president"": {""name"": ""Nirmal Kumar Minda"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Col. Saurabh Sanyal (Retd.)"", ""company"": ""Secretary General, ASSOCHAM (since Jan 2026)""}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": [{""name"": ""ASSOCHAM Gujarat Council"", ""headquarters_address"": ""Gujarat"", ""contact_email"": """"}]}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""4,50,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {""Conclaves"": [{""title"": ""AI Summit 2025"", ""description"": ""Global AI Leadership Meet organised by ASSOCHAM.""}]}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": """", ""website"": ""https://www.assocham.org""}}"
87caf08c-42e5-4eb9-b2db-2918c7e9add5,National,Trade & Services,130000,8000,1000000,c39ecac8-9a1f-4ad3-af64-069b9b315926,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""PHD Chamber of Commerce and Industry is a proactive, dynamic National Apex Chamber working at the grass-root level with strong national and international linkages, authorised by the Government of India to issue certificates of origin for exports and recommendations for visas."", ""mission"": """", ""vision"": """", ""sector"": ""Multi-Industry"", ""objectives"": [], ""key_functions"": [""Research-based policy advocacy"", ""Certificate of Origin issuance"", ""Visa recommendations""]}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Ranjeet Mehta"", ""company"": ""CEO & Secretary General, PHDCCI""}}, ""regional_structure"": {""governance_model"": ""Multi-State"", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": [{""name"": ""PHDCCI Rajasthan"", ""headquarters_address"": ""Rajasthan"", ""contact_email"": """"}]}, ""membership_details"": {""overview_metrics"": [{""label"": ""Direct Members"", ""value"": ""1,30,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [""Geographic spread"", ""Conferencing facilities"", ""Networking"", ""Interface with Government""], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {""Reports"": [{""title"": ""Annual Reports"", ""description"": ""PHDCCI publishes annual reports and research studies on economic development.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": [{""title"": ""PHDCCI Business Practices & Awards 2025"", ""description"": ""Annual recognition programme for business excellence.""}]}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""PHD House, 4/2 Siri Institutional Area, August Kranti Marg, New Delhi 110016, India"", ""phone_number"": ""+91-11-26863801-04"", ""email"": ""sg@phdcci.in"", ""website"": ""https://www.phdcci.in""}}"
50140725-61e1-4293-be22-850d116d803e,National,Exports,200000,5000,200000,c39ecac8-9a1f-4ad3-af64-069b9b315926,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""FIEO is the apex trade promotion organisation in India, premier body of all export promotion councils, commodity boards and export development authorities. It is ISO 9001:2015 certified and maintains the Indian Trade Portal."", ""mission"": """", ""vision"": """", ""sector"": ""Multi-Industry / Exports"", ""objectives"": [], ""key_functions"": [""Export facilitation"", ""Certificate of Origin issuance"", ""Trade fairs and B2B matchmaking"", ""Niryat Shree and Niryat Bandhu Awards""]}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Dr. Ajay Sahai"", ""company"": ""Director General & CEO, FIEO""}}, ""regional_structure"": {""governance_model"": ""Regional"", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Exporters Served"", ""value"": ""2,00,000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {""Step 1"": ""Apply for e-RCMC membership via FIEO website""}, ""benefits"": [""Certificate of Origin"", ""Buyer-Seller Meets"", ""Trade fair participation""], ""mode_of_application"": ""Online (e-RCMC)"", ""application_url"": ""https://fieo.org"", ""member_login_url"": """"}, ""services_offered"": [{""name"": ""Niryat Mitra App"", ""description"": ""Access to publications, event calendar, policy updates, GST rates and export incentives.""}], ""programs"": {}, ""events"": {""Trade Fairs"": [{""title"": ""International Trade Fairs 2025-26"", ""description"": ""Annual calendar of global trade fair participation for exporters.""}]}, ""publications"": {""Magazines"": [{""title"": ""FIEO Monthly News Magazine"", ""description"": ""Trade and commerce magazine with worldwide readership.""}]}, ""compliance_policies"": {}, ""partnerships"": {""list"": [{""name"": ""Enterprise Europe Network"", ""relation"": ""International Partner"", ""website"": """"}]}, ""awards"": {""list"": [{""title"": ""Niryat Shree Award"", ""description"": ""Awarded to outstanding exporters.""}, {""title"": ""Niryat Bandhu Award"", ""description"": ""Awarded to export facilitators.""}]}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Niryat Bhawan, Opp. Army Hospital, Rao Tula Ram Marg, New Delhi 110057, India"", ""phone_number"": ""+91-11-26150111"", ""email"": ""ajaysahai@fieo.org"", ""website"": ""https://fieo.org""}}"
