id,territory_rights,sub_franchise_fee_split,master_fee,min_sub_franchises_required
65efbd24-f656-4f5c-a239-e689f037052d,,,,
92dcb815-2d93-4dd3-a85e-46501758305f,,,,
02cc76b8-6ded-4adf-b7e0-1accb3d5745c,,,,
9662b822-a1e1-4e3d-8620-b4fbf57e6a8d,,,,
4093a4de-6509-4dd9-af6c-d88f17c95254,,,,
ac303bf7-2a32-471d-9be1-a1dbb2e915e7,,,,
7259cde1-3778-442f-a7c9-765b4b8fa8c4,,,,
2f4a2c93-8028-43da-84a1-c2e568af6041,,,,
2d2cf383-0e69-4ac7-a726-df6f0d9c464b,,,,
f796a38b-1d81-4e48-ad0c-4ebeb485b41d,,,,
5d130317-45b7-4caa-aa92-b38fabf64bd8,,,,
c907ac8e-b198-41e0-8c4a-1c973dcdc6d2,,,,
2991c5f6-f474-4fbe-b3e9-2bccfa7527c3,,,200000.0,
6c2a3ad2-a7b4-4c88-8fdd-dea147cb325d,,,300000.0,
760181b5-e9ec-4052-8af9-2349a8cd3508,,,,
cbeacc69-4ee4-46d2-8266-b590e488a2f4,,,,
666bff0f-590b-472e-bf53-4083cf4ecf87,,,10000.0,
60f44cc4-08c5-4cbe-aa90-22cfb4585fa3,,,,
60cb572b-5a35-4ad3-b0ad-5b5c4f51db07,,,,
079cf232-9439-4e89-b7ee-041c8baeadb3,,,10000.0,
87701d6c-5411-4c7e-99e9-11db4365994f,,,,
0998e044-04d4-450d-84a4-ee3c9202c54a,,,3000000.0,
ead88274-6424-46d8-a89a-aa00b8584f6f,,,,
1deba592-75e5-4411-a7a3-5df7de05beff,,,,
c4b28cae-0fdd-4c6d-8b52-119f7a5cae9c,,,,
7bf6ec9d-ce35-43c5-8ffa-8b38ed1410d7,,,,
9a5dc1b7-5cc4-49ee-bf19-aeda9bab2ae9,,,,
3539cf99-9046-4f19-a0e0-bc47ca9c03d9,,,,
d02b084a-6a52-49fe-8d64-4def09ed7472,,,,
a111f3fd-8e32-4124-99a1-4f9fe5237c34,,,,
86acb9b3-81c1-4e0c-9115-d284045254ba,,,2000000.0,
24a8a9a5-f3fb-42f3-80c4-1b6e0f427ea8,,,,
0844fed1-bb49-4aca-8a29-afde6919cef0,,,100000.0,
1e28de06-db80-4a2c-aaa8-030a7d216912,,,,
f154ff1d-e9ed-4cb5-9a5a-46ba4bc4ed43,,,,
951cc471-6d88-4b6c-8a93-2fe7846b70f0,,,,
f3a93951-5c80-47e3-8e2f-8b00092c30af,,,,
73a16695-6e20-4e69-8fd2-3445f1c67521,,,,
25656236-1968-49da-a6d8-32ffdcc6888e,,,200000.0,
3f8fddd3-f75d-4d55-8622-c998930adc92,,,,
8df52cfd-63bb-4fd6-8f61-6a994ea55cfe,,,,
d9da3ea1-997f-4b4c-a39b-fcf836feec85,,,,
ef06db34-7a6c-426e-b65d-973bc962dbe9,,,2500000.0,
d96ac4e8-daa4-4d60-9a4d-f7dcb54412b7,,,,
fbb1242f-32be-4c01-b085-b98486a13802,,,,
0ce95acf-1221-45aa-ae6a-d496a33d1fa8,,,,
ca257ac6-7d5b-4292-a6e1-9d71b5c73ada,,,,
e82dbdfb-34d6-4427-99f1-7334e55a59eb,,,0.0,
499ed48e-a3e7-480e-900b-f384cd1ec21f,,,,
0e50ed02-6937-4c8d-aa31-b4202a5f77cd,,,,
9c40ad04-7b89-45b0-abbd-bd8353b1bca0,,,10000.0,
4d7c5f23-550b-4ec4-8bd9-e08d5c620d6d,,,,
3fdfc493-e614-4001-b564-8169665b6043,,,,
4d6bbe5d-c539-4253-8e3d-f9d65f2d9cf8,,,2100000.0,
c244769a-fae4-4e57-bb91-a696cf5751f6,,,,
e909318a-6b26-4da4-a189-c7e5e01c2226,,,300000.0,
7cc73890-b426-4c12-86f9-1d5316168d5a,,,,
461c9191-2310-4c0d-96ca-7f8e10a1aa7e,,,,
bea46b79-4244-4576-85e4-528ac556136b,,,150000.0,
7eeb92a1-3692-48ea-bf58-340be1553c51,,,,
996969a8-22ac-4795-aed3-a058926f49fc,,,,
1f5ac31b-5e68-482b-8624-ef1775a11669,,,,
3b9d9bba-8648-4f5f-be39-e4795732abf0,,,,
fb539ef5-7d90-427c-a96b-edcfac8c79a9,,,,
f3a87cae-1f95-490d-9dbc-8f0759a06895,,,,
bf4350e5-d4ef-4e08-80e0-67470a980fbb,,,,
13a8d0e6-0b0c-4f7e-bb32-940525b0b137,,,1.0,
f6528159-3139-477c-bcec-516d82e7a7f8,,,,
e257c222-0560-42cb-bbb3-01ae997855c3,,,1500000.0,
37340f08-64a8-4097-a348-1fc05f39bc13,,,,
deaeefc6-ad43-48ab-9111-a6ef304b76f7,,,,
