listing_id,name,short_description,current_category,current_subcategory
5a0fc421-9c8e-4c36-9a25-2263e2cd8a70,ASAPcc,Not Provided.,Business Consulting,
ab3880d6-1df0-40f6-8692-b7939d80e4ff,Adroit - Franchise Opportunity,Adroit Financial Services Pvt.,Wealth Management,Investment Advisory
0a456384-13fd-4cca-9798-20fb032eb87f,Allam Guruji Tours And Travel,Not Provided.,Transportation Services,Tour Operations
6b34fe74-dd14-4bd0-a204-ff457a1c9dff,Amway,Not Provided.,Business Consulting,
9c9938f8-ab98-4336-b8ba-777daefaa633,KEPCO,Welcome to KEPCO.,"Agents, Dealers & Distributors",Dealerships
16f64bb0-ea2d-4edc-a301-70f1bc51f9ed,Genu Path Labs,Ltd.,Medical & Healthcare Services,
2145428c-aeeb-4a85-9811-f410442816e8,BHOOKELA,!,Specialty Food,Regional cuisine
6624c09a-e9ba-498c-a412-ead643b0d247,Health Sanctuary,Orb Health Sanctuary Pvt.,Medical & Healthcare Services,
84d7cbe2-c11c-43f9-9355-8de2b7a75deb,DE - Franchise Opportunity,Business is verified.,Business Consulting,
b81515a7-2ce4-49d0-83e2-69737a92dabe,Antivirus - Franchise Opportunity,Not Provided.,IT & Tech Services,Cybersecurity & Network
363a7990-10f2-412d-9248-696caed0b26b,Armaax,R.,"Agents, Dealers & Distributors",Dealerships
8a1ff7c2-68de-46c0-95af-2d35883eb196,IndianPharma,Not Provided.,Medical & Healthcare Services,
760181b5-e9ec-4052-8af9-2349a8cd3508,Appraisal Pharmaceuticals,APPRAISAL PHARMACEUTICAL OPC PVT.,Medical & Healthcare Services,
521b4bab-cdd2-4f68-a7b6-bfcf0b77f93c,Art Progress,Renowned Cultural Institute.,Tutoring & Coaching,Arts and crafts centers
ef796d0e-41d1-49a9-b18c-e3bb33c828c7,Immigration Teacher,- Franchise Opportunity.,Study Abroad & Consultancy,Visa assistance services
e3323346-4803-4340-b9ad-78152847e630,BIKERS POINT,Not Provided.,Automotive Aftermarket,Auto parts retail
4207f5f4-b250-4ead-a4d2-87d27db5153f,GoNag Solutions,Pvt Ltd.,Electronics & Appliances,Home appliances
6e99e9de-a3e8-4b5b-b490-5eca725bb890,Inners,Maxwell Industries Ltd.,Apparel & Fashion Retail,"Ethnic wear (sarees, kurtis, traditional)"
9e086037-cefe-425f-a357-1d6690f12dea,Indus Planet Franchise,Not Provided.,Study Abroad & Consultancy,International education consultancy
1dd34dc1-1e74-4a4a-919d-28b297809af9,Kaati Zone,Not Provided.,Cafes & Coffee Shops,Specialty coffee chains
50980caa-03d2-456a-a2d4-9d2b8bf65a62,Birla Lifestyle,Not Provided.,Mixed Retail/Department Stores,
d8a80546-8cfe-4f3c-837c-e4391749a944,Hobby Ideas,Not Provided.,Tutoring & Coaching,Arts and crafts centers
58c158cd-4f87-4139-b1de-256940ae0308,IVAR GROUP,Not Provided.,Business & Professional Services,
340e5952-38cb-495a-8feb-a2afc79aecd6,AML Franchise,Abhi Multimedia Pvt.,Publishing Services,Magazine Publishing
db4a8bc8-89c8-43eb-834b-dbf68ba63f49,kids concepts,Not Provided.,Preschool & Early Learning,Preschools
ae26143d-8810-459c-90c8-3f9f4c64f945,AIRTECH,Not Provided.,Electronics & Appliances,Home appliances
9c68fe3f-d08b-4ba4-9269-42d2500720fc,Born Kids Academy,Not Provided.,Preschool & Early Learning,Preschools
700738d3-0a9e-4552-aa3d-7bccf57d3cee,Indizel,Not Provided.,Business & Professional Services,
fe93d460-6134-4985-ac4d-9665ca06fb10,Ganesh Rathod,Not Provided.,Business & Professional Services,
6be49ddd-f93a-40f5-8fb6-9390b93fb8b9,Decor Zone Interior,UTOPIHO Pvt.,Home & Garden Products,Home decor stores
634fdb8d-2a3b-406c-8823-d84ccef65eab,Hydearabadi Biryani from the house of Victori,Not Provided.,Specialty Food,Regional cuisine
6aad3bad-d1dd-42dc-a500-4abfd92fda7f,AlkyLife Wellness,Pvt.,"Agents, Dealers & Distributors",Dealerships
bf6a9f3e-8747-4bab-8f49-a9f48276581a,Hemvini,Biotech Pvt.,Medical & Healthcare Services,
4bcfa857-b242-41a7-a67f-38879772b395,IRCTC Subagency Authorization,Not Provided.,Transportation Services,Tour Operations
a5bb1863-17db-4b81-a666-57a2fa57c465,Grreen6,Not Provided.,Agricultural Services,
71f6195f-ac09-4c0c-a5bd-c7be755a1f2f,Nandri South Indian Cafe,Not Revealed.,Cafes & Coffee Shops,Specialty coffee chains
e4de6201-4144-4067-bd19-d926915c08d7,Any Brand,About us:.,"Agents, Dealers & Distributors",C&F Agents
1ce268d7-d0b6-41f6-93cb-48cd6ba8a483,Gyan Do Powering Conversations,Gyan Do:.,Quick Service Restaurants (QSR),"Asian cuisine (Chinese, Indian, Thai)"
c9da01b3-437a-47b5-92c9-f648bb2cdaff,Banjo's The Food Chain,Friendship business.,Casual & Fast-Casual Dining,Casual family dining
d68af2bd-c63c-4502-aefc-80058beafa9e,Any Drand,Not Provided.,Business Consulting,
eee8ad08-d821-4ac9-aa6a-0ba08e1a3331,Basket Buzz,Not Provided.,Mixed Retail/Department Stores,
81dfb7ef-434f-49e3-b162-c860ad188091,IIMPT,Not Provided.,Professional Skill Development,Business skills training
02c77067-17f8-490f-ad17-e658f2f5ecc4,Go69 Pizza,- Franchise Opportunity.,Quick Service Restaurants (QSR),Burger chains
1b8c3826-ce49-4807-b967-b7ca4e81f2e0,InventiveEra,Not Provided.,Business Consulting,
48bc8bb2-20e9-40e0-89fd-34b5de22d937,Hungry Helpers,Hello .,Casual & Fast-Casual Dining,Casual family dining
c3fbfdb9-d456-476e-8103-635267013a79,Guftagu,:.,Business & Professional Services,
3cf2041e-3e3f-4fcd-aa66-5c45150e1096,Hay,!,Apparel & Fashion Retail,Men's clothing stores
