sr_no,association,industry,verification_status
1,All India Glass Manufacturers' Federation (AIGMF),Logistics / Manufacturing,High-confidence (well-established public entity)
2,Society of Indian Automobile Manufacturers (SIAM),Automotive,Verified (source dataset)
3,Federation of Indian Chambers of Commerce & Industry (FICCI),Business Services,Verified (source dataset)
4,Karnataka Small Scale Industries Association (KASSIA),Business Services,High-confidence (well-established public entity)
5,National Association of Software and Service Companies (NASSCOM),Technology / IT,Verified (source dataset)
6,Thane Belapur Industries Association (TBIA),Business Services,High-confidence (well-established public entity)
7,Confederation of Indian Industry (CII),Business Services,Verified (source dataset)
8,Associated Chambers of Commerce & Industry of India (ASSOCHAM),Business Services,Verified (source dataset)
9,PHD Chamber of Commerce and Industry (PHDCCI),Business Services,Verified (source dataset)
10,Federation of Indian Export Organisations (FIEO),Business Services,Verified (source dataset)
11,Internet and Mobile Association of India (IAMAI),Technology / IT,High-confidence (well-established public entity)
12,Manufacturers Association for Information Technology (MAIT),Technology / IT,High-confidence (well-established public entity)
13,Data Security Council of India (DSCI),Technology / IT,High-confidence (well-established public entity)
14,Indian Drug Manufacturers' Association (IDMA),Logistics / Manufacturing,Verified (source dataset)
15,Organisation of Pharmaceutical Producers of India (OPPI),Health,Verified (source dataset)
16,Indian Pharmaceutical Alliance (IPA),Health,Verified (source dataset)
17,All India Organisation of Chemists & Druggists (AIOCD),Dealers & Distributors,Verified (source dataset)
18,Pharmaceuticals Export Promotion Council of India (PHARMEXCIL),Health,Verified (source dataset)
19,Automotive Component Manufacturers Association of India (ACMA),Automotive,Verified (source dataset)
20,Federation of Automobile Dealers Associations (FADA),Automotive,Verified (source dataset)
21,Confederation of Indian Textile Industry (CITI),Fashion,Verified (source dataset)
22,Apparel Export Promotion Council (AEPC),Fashion,Verified (source dataset)
23,Cotton Textiles Export Promotion Council (TEXPROCIL),Fashion,Verified (source dataset)
24,Chemicals & Allied Products Export Promotion Council (CAPEXIL),Logistics / Manufacturing,Verified (source dataset)
25,Indian Chemical Council (ICC),Logistics / Manufacturing,Verified (source dataset)
26,Engineering Export Promotion Council of India (EEPC India),Logistics / Manufacturing,Verified (source dataset)
27,Indian Electrical & Electronics Manufacturers' Association (IEEMA),Logistics / Manufacturing,Verified (source dataset)
28,Indian Machine Tool Manufacturers' Association (IMTMA),Logistics / Manufacturing,Verified (source dataset)
29,All India Plastics Manufacturers Association (AIPMA),Logistics / Manufacturing,Verified (source dataset)
30,Indian Plastics Institute (IPI),Logistics / Manufacturing,High-confidence (well-established public entity)
